iter	Passed	Remaining
406	7297	10632
407	7315	10614
408	7333	10596
409	7351	10578
410	7369	10561
411	7387	10543
412	7405	10525
413	7423	10507
414	7440	10488
415	7463	10477
416	7491	10473
417	7511	10459
418	7531	10442
419	7548	10423
420	7563	10401
421	7581	10384
422	7599	10366
423	7617	10347
424	7633	10328
425	7650	10307
426	7665	10286
427	7681	10265
428	7698	10246
429	7715	10227
430	7731	10207
431	7747	10186
432	7762	10164
433	7778	10143
434	7793	10122
435	7809	10102
436	7824	10080
437	7839	10059
438	7855	10038
439	7871	10018
440	7887	9998
441	7903	9977
442	7918	9956
443	7936	9938
444	7953	9920
445	7970	9900
446	7986	9879
447	8003	9861
448	8021	9843
449	8039	9826
450	8058	9809
451	8081	9797
452	8101	9782
453	8117	9762
454	8133	9742
455	8149	9722
456	8166	9702
457	8182	9683
458	8199	9664
459	8215	9644
460	8231	9624
461	8247	9604
462	8263	9584
463	8280	9565
464	8296	9545
465	8312	9525
466	8329	9506
467	8345	9487
468	8361	9466
469	8376	9445
470	8393	9427
471	8410	9408
472	8426	9388
473	8442	9368
474	8461	9351
475	8476	9331
476	8493	9312
477	8510	9293
478	8525	9273
479	8541	9253
480	8558	9234
481	8573	9214
482	8590	9195
483	8606	9175
484	8622	9156
485	8638	9136
486	8654	9116
487	8670	9097
488	8686	9077
489	8702	9058
490	8720	9040
491	8736	9020
492	8752	9001
493	8769	8982
494	8785	8963
495	8803	8945
496	8820	8927
497	8850	8921
498	8867	8902
499	8882	8882
500	8898	8862
501	8914	8843
502	8932	8825
503	8947	8805
504	8965	8787
505	8983	8770
506	9003	8754
507	9022	8738
508	9041	8721
509	9061	8706
510	9081	8690
511	9103	8676
512	9123	8661
513	9146	8647
514	9167	8633
515	9188	8618
516	9208	8602
517	9230	8588
518	9246	8569
519	9265	8552
520	9282	8534
521	9297	8513
522	9312	8493
523	9330	8476
524	9347	8457
525	9363	8437
526	9379	8418
527	9394	8398
528	9412	8380
529	9426	8359
530	9442	8340
531	9458	8321
532	9474	8301
533	9490	8281
534	9506	8262
535	9522	8243
536	9544	8229
537	9568	8216
538	9591	8203
539	9608	8185
540	9623	8165
541	9639	8145
542	9656	8126
543	9672	8107
544	9688	8088
545	9704	8069
546	9720	8050
547	9735	8030
548	9750	8009
549	9766	7991
550	9782	7971
551	9798	7952
552	9816	7934
553	9832	7915
554	9848	7896
555	9865	7878
556	9882	7860
557	9897	7839
558	9914	7821
559	9929	7801
560	9944	7782
561	9960	7762
562	9975	7743
563	9991	7723
564	10008	7705
565	10026	7688
566	10043	7670
567	10060	7651
568	10079	7635
569	10096	7616
570	10114	7599
571	10132	7581
572	10153	7566
573	10175	7551
574	10199	7539
575	10223	7525
576	10241	7507
577	10259	7490
578	10276	7472
579	10295	7455
580	10313	7437
581	10334	7422
582	10352	7405
583	10371	7387
584	10389	7370
585	10409	7354
586	10429	7337
587	10454	7325
588	10473	7308
589	10491	7290
590	10511	7274
591	10530	7257
592	10548	7239
593	10566	7222
594	10585	7204
595	10602	7186
596	10631	7176
597	10651	7160
598	10670	7143
599	10697	7131
600	10724	7119
601	10748	7106
602	10772	7092
603	10797	7079
604	10823	7066
605	10849	7054
606	10876	7041
607	10907	7032
608	10930	7017
609	10955	7004
610	10984	6993
611	11006	6978
612	11033	6965
613	11055	6950
614	11071	6930
615	11088	6912
616	11104	6893
617	11120	6873
618	11137	6855
619	11156	6838
620	11172	6818
621	11189	6800
622	11205	6781
623	11222	6762
624	11239	6743
625	11255	6724
626	11271	6705
627	11287	6686
628	11303	6667
629	11322	6649
630	11339	6631
631	11356	6612
632	11372	6593
633	11389	6574
634	11404	6555
635	11420	6536
636	11437	6517
637	11454	6499
638	11472	6481
639	11490	6463
640	11508	6445
641	11528	6428
642	11547	6411
643	11565	6393
644	11587	6377
645	11610	6362
646	11638	6349
647	11665	6336
648	11686	6320
649	11705	6302
650	11725	6285
651	11743	6268
652	11762	6250
653	11782	6233
654	11801	6216
655	11821	6198
656	11839	6181
657	11860	6164
658	11880	6147
659	11901	6130
660	11920	6113
661	11946	6099
662	11969	6084
663	12004	6074
664	12071	6080
665	12104	6070
666	12127	6054
667	12151	6039
668	12174	6023
669	12195	6006
670	12216	5989
671	12236	5972
672	12257	5955
673	12280	5939
674	12301	5922
675	12321	5905
676	12342	5888
677	12361	5870
678	12377	5851
679	12393	5832
680	12418	5816
681	12436	5798
682	12456	5781
683	12471	5761
684	12489	5743
685	12509	5725
686	12527	5707
687	12550	5691
688	12571	5674
689	12592	5657
690	12614	5640
691	12635	5623
692	12655	5606
693	12676	5589
694	12697	5572
695	12718	5555
696	12739	5538
697	12759	5520
698	12783	5504
699	12803	5487
700	12824	5469
701	12841	5451
702	12856	5431
703	12872	5412
704	12890	5393
705	12906	5374
706	12922	5355
707	12938	5336
708	12954	5317
709	12970	5297
710	12986	5278
711	13003	5259
712	13018	5240
713	13040	5223
714	13058	5205
715	13075	5186
716	13091	5167
717	13108	5148
718	13124	5129
719	13140	5110
720	13156	5090
721	13171	5071
722	13187	5052
723	13202	5033
724	13218	5014
725	13235	4995
726	13250	4975
727	13265	4956
728	13281	4937
729	13298	4918
730	13315	4899
731	13331	4881
732	13348	4862
733	13364	4843
734	13382	4824
735	13398	4805
736	13414	4787
737	13433	4769
738	13449	4750
739	13465	4731
740	13480	4711
741	13496	4692
742	13511	4673
743	13528	4654
744	13544	4635
745	13560	4617
746	13575	4598
747	13592	4579
748	13608	4560
749	13624	4541
750	13640	4522
751	13657	4504
752	13679	4487
753	13700	4470
754	13723	4453
755	13743	4435
756	13759	4416
757	13776	4398
758	13792	4379
759	13809	4360
760	13825	4341
761	13840	4322
762	13857	4304
763	13872	4285
764	13890	4267
765	13906	4248
766	13923	4229
767	13939	4210
768	13955	4192
769	13971	4173
770	13987	4154
771	14004	4136
772	14021	4117
773	14036	4098
774	14054	4080
775	14080	4064
776	14096	4045
777	14111	4026
778	14127	4008
779	14143	3989
780	14160	3970
781	14177	3952
782	14192	3933
783	14207	3914
784	14223	3895
785	14238	3876
786	14254	3858
787	14270	3839
788	14287	3820
789	14304	3802
790	14322	3784
791	14339	3765
792	14362	3748
793	14378	3730
794	14397	3712
795	14416	3694
796	14432	3675
797	14448	3657
798	14464	3638
799	14479	3619
800	14496	3601
801	14510	3582
802	14524	3563
803	14540	3544
804	14555	3525
805	14570	3507
806	14590	3489
807	14609	3471
808	14629	3453
809	14648	3436
810	14667	3418
811	14686	3400
812	14705	3382
813	14727	3365
814	14746	3347
815	14766	3329
816	14784	3311
817	14803	3293
818	14826	3276
819	14847	3259
820	14866	3241
821	14888	3224
822	14910	3206
823	14932	3189
824	14948	3170
825	14964	3152
826	14980	3133
827	14998	3115
828	15014	3096
829	15029	3078
830	15047	3060
831	15066	3042
832	15082	3023
833	15100	3005
834	15115	2986
835	15132	2968
836	15147	2949
837	15163	2931
838	15179	2912
839	15197	2894
840	15214	2876
841	15231	2858
842	15247	2839
843	15263	2821
844	15280	2802
845	15300	2785
846	15316	2766
847	15333	2748
848	15349	2730
849	15366	2711
850	15383	2693
851	15399	2675
852	15415	2656
853	15431	2638
854	15449	2620
855	15464	2601
856	15481	2583
857	15498	2565
858	15515	2546
859	15531	2528
860	15547	2510
861	15564	2491
862	15581	2473
863	15598	2455
864	15614	2436
865	15630	2418
866	15646	2400
867	15662	2381
868	15679	2363
869	15701	2346
870	15719	2328
871	15747	2311
872	15769	2294
873	15793	2276
874	15809	2258
875	15825	2240
876	15843	2222
877	15859	2203
878	15875	2185
879	15892	2167
880	15909	2149
881	15926	2130
882	15945	2112
883	15963	2094
884	15982	2076
885	15998	2058
886	16014	2040
887	16031	2021
888	16047	2003
889	16065	1985
890	16080	1967
891	16101	1949
892	16116	1931
893	16134	1913
894	16150	1894
895	16166	1876
896	16182	1858
897	16199	1840
898	16214	1821
899	16241	1804
900	16263	1786
901	16283	1769
902	16307	1751
903	16327	1733
904	16352	1716
905	16372	1698
906	16393	1680
907	16413	1663
908	16435	1645
909	16455	1627
910	16475	1609
911	16496	1591
912	16521	1574
913	16542	1556
914	16566	1538
915	16587	1521
916	16611	1503
917	16636	1486
918	16653	1467
919	16671	1449
920	16689	1431
921	16708	1413
922	16726	1395
923	16744	1377
924	16761	1359
925	16779	1340
926	16797	1322
927	16816	1304
928	16832	1286
929	16850	1268
930	16868	1250
931	16884	1231
932	16902	1213
933	16920	1195
934	16937	1177
935	16955	1159
936	16973	1141
937	16989	1122
938	17005	1104
939	17022	1086
940	17039	1068
941	17056	1050
942	17073	1032
943	17090	1013
944	17109	995
945	17127	977
946	17144	959
947	17160	941
948	17175	923
949	17191	904
950	17207	886
951	17223	868
952	17240	850
953	17257	832
954	17273	813
955	17289	795
956	17306	777
957	17324	759
958	17342	741
959	17359	723
960	17377	705
961	17396	687
962	17418	669
963	17437	651
964	17458	633
965	17485	615
966	17504	597
967	17525	579
968	17542	561
969	17559	543
970	17576	524
971	17593	506
972	17611	488
973	17629	470
974	17646	452
975	17664	434
976	17682	416
977	17699	398
978	17715	379
979	17729	361
980	17745	343
981	17761	325
982	17777	307
983	17802	289
984	17827	271
985	17848	253
986	17864	235
987	17880	217
988	17902	199
989	17925	181
990	17941	162
991	17956	144
992	17972	126
993	17988	108
994	18004	90
995	18024	72
996	18043	54
997	18065	36
998	18085	18
999	18103	0
