iter	RMSE
0	7802.266943
1	7720.697584
2	7624.26523
3	7552.210877
4	7478.07378
5	7418.123912
6	7355.926784
7	7305.670752
8	7249.188549
9	7201.57316
10	7153.161011
11	7108.562741
12	7071.429744
13	7035.932621
14	6996.199413
15	6960.530635
16	6927.888115
17	6894.224369
18	6868.444517
19	6843.350448
20	6820.839958
21	6798.926568
22	6770.151431
23	6746.170153
24	6723.842612
25	6703.404821
26	6683.123441
27	6664.738171
28	6647.661872
29	6630.261205
30	6611.618084
31	6592.891883
32	6578.854549
33	6554.392333
34	6540.827797
35	6530.409259
36	6521.310215
37	6507.206119
38	6499.808562
39	6481.858868
40	6465.370944
41	6453.466747
42	6439.522849
43	6428.644837
44	6420.400241
45	6411.659383
46	6397.544315
47	6385.116402
48	6369.6572
49	6362.816734
50	6351.715816
51	6338.022166
52	6324.763541
53	6316.166638
54	6307.206705
55	6297.067587
56	6284.275581
57	6277.969634
58	6269.730929
59	6263.305704
60	6254.238748
61	6241.927519
62	6234.099635
63	6224.159181
64	6216.42922
65	6210.864451
66	6199.307591
67	6190.373289
68	6183.273871
69	6175.091916
70	6168.183276
71	6162.608573
72	6154.910186
73	6147.702987
74	6141.169816
75	6134.948309
76	6125.933445
77	6117.622887
78	6110.538696
79	6103.899154
80	6098.645119
81	6090.448005
82	6084.740236
83	6078.606624
84	6073.133157
85	6065.935522
86	6059.914945
87	6051.278158
88	6042.276847
89	6034.046529
90	6028.798548
91	6023.168032
92	6016.220437
93	6007.397811
94	6000.625213
95	5994.951719
96	5990.140765
97	5983.925822
98	5977.76019
99	5973.620463
100	5965.712897
101	5959.754022
102	5952.376237
103	5944.588271
104	5939.816561
105	5932.659985
106	5927.673802
107	5921.722376
108	5913.781139
109	5907.097778
110	5902.043293
111	5897.451679
112	5891.118962
113	5886.018146
114	5880.685883
115	5875.453516
116	5868.404452
117	5864.226517
118	5855.166107
119	5850.356333
120	5843.736352
121	5837.062744
122	5831.530554
123	5824.495561
124	5817.525757
125	5812.681851
126	5804.266714
127	5797.714781
128	5790.769184
129	5784.251423
130	5777.417119
131	5772.011237
132	5768.012978
133	5761.148614
134	5754.358195
135	5748.91153
136	5743.427169
137	5737.520168
138	5731.147759
139	5724.426372
140	5716.678287
141	5710.602898
142	5703.829451
143	5699.018123
144	5694.053819
145	5687.234188
146	5681.487169
147	5675.442977
148	5668.019361
149	5662.538142
150	5656.378709
151	5649.113277
152	5644.219979
153	5635.672738
154	5630.24798
155	5624.627501
156	5619.123958
157	5615.465674
158	5609.81072
159	5603.751422
160	5598.685201
161	5593.34935
162	5582.937325
163	5576.717626
164	5569.948161
165	5561.650657
166	5556.490884
167	5548.887796
168	5540.477387
169	5533.133745
170	5527.074637
171	5519.684271
172	5511.311347
173	5504.162763
174	5498.112033
175	5488.257234
176	5480.98108
177	5475.483733
178	5469.415335
179	5461.800064
180	5452.781949
181	5444.984486
182	5439.736008
183	5433.633624
184	5427.75756
185	5422.020572
186	5415.83122
187	5406.715967
188	5398.881983
189	5393.275878
190	5385.586134
191	5378.025557
192	5371.316457
193	5362.92233
194	5355.251521
195	5347.366542
196	5338.9124
197	5332.7176
198	5325.566278
199	5318.256798
200	5311.172306
201	5301.708516
202	5295.76918
203	5289.331423
204	5281.391588
205	5276.29917
206	5269.472176
207	5262.577888
208	5255.579013
209	5248.617636
210	5240.899354
211	5233.185531
212	5226.896708
213	5217.578345
214	5210.961375
215	5203.151399
216	5197.121056
217	5191.496369
218	5185.384895
219	5178.616243
220	5173.009036
221	5166.968246
222	5157.198688
223	5150.61582
224	5146.431266
225	5140.257069
226	5132.987017
227	5122.524153
228	5112.676845
229	5107.536056
230	5099.318118
231	5088.845195
232	5081.30903
233	5075.638588
234	5069.658009
235	5063.254148
236	5055.658421
237	5049.035662
238	5042.840745
239	5034.889932
240	5028.590544
241	5022.654535
242	5014.273236
243	5008.076062
244	5002.693762
245	4993.28726
246	4986.036581
247	4978.655874
248	4972.06764
249	4968.331071
250	4961.390349
251	4954.444611
252	4946.460056
253	4939.966477
254	4934.29344
255	4928.150988
256	4921.57547
257	4915.943804
258	4910.10737
259	4903.528876
260	4897.00195
261	4889.300842
262	4884.164616
263	4877.272691
264	4870.005903
265	4864.842048
266	4858.398704
267	4849.904854
268	4840.815676
269	4834.390157
270	4825.942291
271	4818.719312
272	4814.51173
273	4807.477204
274	4799.60899
275	4792.886709
276	4785.668642
277	4779.299312
278	4772.863149
279	4767.987981
280	4763.747448
281	4758.201813
282	4750.403921
283	4742.104311
284	4736.710355
285	4729.249444
286	4722.104261
287	4716.557426
288	4707.830917
289	4701.105905
290	4696.236374
291	4689.277491
292	4681.786775
293	4673.783429
294	4669.442627
295	4663.349058
296	4657.943754
297	4652.310509
298	4646.165843
299	4639.627533
300	4632.769398
301	4626.132403
302	4618.989807
303	4613.24366
304	4605.559147
305	4598.802677
306	4592.141635
307	4584.488829
308	4578.40159
309	4571.805363
310	4567.740101
311	4561.474442
312	4557.933816
313	4552.820728
314	4545.169141
315	4540.147973
316	4532.831708
317	4528.792833
318	4525.246847
319	4520.278718
320	4514.144288
321	4507.991351
322	4502.513673
323	4496.000827
324	4491.228929
325	4485.965822
326	4479.552264
327	4475.278576
328	4469.928285
329	4463.365387
330	4459.232604
331	4455.549772
332	4449.974949
333	4442.568008
334	4436.098301
335	4430.306508
336	4423.649686
337	4419.824608
338	4413.330584
339	4406.533918
340	4399.538422
341	4392.355682
342	4384.011009
343	4380.200313
344	4375.737753
345	4370.482464
346	4365.876078
347	4361.198479
348	4354.521852
349	4348.788617
350	4344.123821
351	4338.877794
352	4334.924112
353	4330.70197
354	4324.860646
355	4319.576406
356	4313.052428
357	4308.922405
358	4303.191772
359	4296.89655
360	4292.629351
361	4287.596266
362	4283.496736
363	4279.852525
364	4273.782317
365	4267.496503
366	4262.115482
367	4254.58746
368	4248.776247
369	4243.257748
370	4236.5241
371	4230.567202
372	4223.23047
373	4219.930485
374	4214.161021
375	4209.581083
376	4206.05191
377	4200.832459
378	4196.779285
379	4192.890829
380	4189.000492
381	4183.280983
382	4177.38885
383	4172.959683
384	4167.471749
385	4162.69372
386	4155.225637
387	4150.032585
388	4143.675489
389	4138.122849
390	4134.091952
391	4129.162516
392	4123.190358
393	4118.068378
394	4113.626651
395	4109.077165
396	4103.596447
397	4098.254467
398	4092.99935
399	4086.425874
400	4079.637316
401	4075.835035
402	4069.351377
403	4064.775037
404	4060.014025
405	4053.660445
406	4049.473086
407	4044.465797
408	4038.724434
409	4033.07079
410	4028.331828
411	4023.570782
412	4017.822062
413	4014.098956
414	4010.427295
415	4004.60394
416	3999.418137
417	3993.771173
418	3987.287691
419	3984.490293
420	3978.981761
421	3973.240446
422	3968.146426
423	3962.385302
424	3957.969618
425	3952.100288
426	3947.414955
427	3940.126924
428	3935.51037
429	3927.974266
430	3922.73198
431	3918.172658
432	3912.755655
433	3906.54358
434	3899.816524
435	3893.792565
436	3889.159253
437	3885.278591
438	3881.448713
439	3876.621449
440	3872.221585
441	3866.454158
442	3861.67268
443	3856.342983
444	3851.875023
445	3847.749086
446	3844.291841
447	3839.064027
448	3834.653738
449	3829.075332
450	3824.509251
451	3820.086663
452	3815.504816
453	3811.377836
454	3808.415447
455	3802.615707
456	3798.370887
457	3792.913258
458	3787.347082
459	3782.913319
460	3778.278289
461	3772.212177
462	3768.768013
463	3764.336337
464	3760.019465
465	3754.775235
466	3750.519873
467	3747.35803
468	3742.991691
469	3738.44233
470	3733.707554
471	3727.488086
472	3721.789582
473	3716.311171
474	3712.207546
475	3704.69571
476	3699.517807
477	3695.576986
478	3689.810366
479	3685.409156
480	3680.912554
481	3674.299939
482	3669.682956
483	3665.136119
484	3661.017299
485	3655.593304
486	3651.418638
487	3647.831296
488	3642.008204
489	3638.464779
490	3634.348665
491	3629.777241
492	3624.951605
493	3619.315269
494	3616.802186
495	3611.979475
496	3607.73322
